"county","fips","population","sqr_miles","median_age","per_capita_income","median_household_income","percent_below_poverty_line","number_of_households","fertility_percent","housing_units","median_housing_value","percent_moved"
"adams","17001",65166,855.2,41.1,36317,64962,12.3,27770,4.8,30283,155900,11.2
"alexander","17003",5042,235.4,45.8,25261,43523,21,1826,4,2964,58700,9.6
"bond","17005",16627,380.3,40.4,32665,61603,12.7,6256,4.6,6892,133100,16.4
"boone","17007",53316,280.7,39.5,38437,81638,10.5,19155,6.6,20238,198600,7.9
"brown","17009",6320,305.7,40.9,26527,72288,8.9,2021,11.4,2321,142200,16.6
"bureau","17011",33027,869.1,44.1,36625,65894,12.6,14011,7,15646,121900,10.4
"calhoun","17013",4406,253.8,48.5,33749,92095,5.8,1222,2.1,2298,174000,2.6
"carroll","17015",15621,445.4,44.9,32921,60871,13.6,6478,6.8,8190,113500,8.8
"cass","17017",12826,375.8,38.1,32047,64907,10.9,5135,8,5665,95500,13.6
"champaign","17019",205644,996.1,30.9,37285,59574,16.3,89155,4.1,96007,216100,16.8
"christian","17021",33684,709.5,42.7,31989,59253,11.1,13534,4.7,15190,112100,9.2
"clark","17023",15328,501.4,42,35425,70625,9.5,6597,4,7333,123100,9.2
"clay","17025",13173,468.4,41.5,33212,57266,16.7,5431,3.7,6147,94300,14.5
"clinton","17027",36899,473.9,41.4,41334,82314,7.5,14463,7.1,15677,180500,9.2
"coles","17029",46689,508.3,38.2,33965,56040,18.4,20335,4.9,22717,121900,16.6
"cook","17031",5087072,944.9,38.4,48074,80579,13.3,2117084,4.3,2280886,313700,12
"crawford","17033",18588,443.6,42.4,34276,67614,11.6,7411,3.9,8461,113700,13.1
"cumberland","17035",10378,345.9,42.3,36270,69826,9.9,4180,7.1,4720,117700,8.3
"dekalb","17037",100288,631.3,34.4,34533,67697,12.8,40202,4.8,41856,244000,16.8
"de-witt","17039",15461,397.6,44,36977,64802,10.1,6642,4.8,7312,124200,9.9
"douglas","17041",19686,416.6,38.9,34630,74186,8.9,7821,10.6,8492,142600,9.6
"dupage","17043",921213,327.8,40.6,56380,106961,6.5,353618,5.2,367832,383100,10.2
"edgar","17045",16637,623.3,46.4,33566,56909,11.8,7612,3.2,8236,95700,13.8
"edwards","17047",6118,222.4,44.6,31314,59386,17,2653,8.2,3045,97500,12.5
"effingham","17049",34505,478.8,39.5,38582,75380,10.6,14030,6.6,15336,179800,9.7
"fayette","17051",21380,716.4,41.7,30865,57113,16.5,7832,7.7,8849,114700,8.1
"ford","17053",13396,485.6,42.5,32674,60782,12.7,5728,5.7,6263,118100,9.3
